# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  1.040000, -0.145659
  1.041000, -0.142900
  1.042000, -0.140141
  1.043000, -0.137381
  1.044000, -0.134721
  1.045000, -0.132060
  1.046000, -0.129622
  1.047000, -0.127184
  1.048000, -0.124424
  1.049000, -0.121665
  1.050000, -0.118906
  1.051000, -0.116146
  1.052000, -0.113387
  1.053000, -0.110627
  1.054000, -0.108189
  1.055000, -0.105751
  1.056000, -0.102991
  1.057000, -0.100232
  1.058000, -0.097793
  1.059000, -0.095355
  1.060000, -0.092935
  1.061000, -0.090515
  1.062000, -0.088077
  1.063000, -0.085638
  1.064000, -0.083101
  1.065000, -0.080564
  1.066000, -0.078125
  1.067000, -0.075687
  1.068000, -0.073248
  1.069000, -0.070810
  1.070000, -0.068612
  1.071000, -0.066414
  1.072000, -0.063976
  1.073000, -0.061537
  1.074000, -0.059420
  1.075000, -0.057302
  1.076000, -0.055184
  1.077000, -0.053067
  1.078000, -0.050949
  1.079000, -0.048832
  1.080000, -0.046714
  1.081000, -0.044596
  1.082000, -0.042479
  1.083000, -0.040361
  1.084000, -0.038244
  1.085000, -0.036126
  1.086000, -0.034329
  1.087000, -0.032533
  1.088000, -0.030514
  1.089000, -0.028495
  1.090000, -0.026779
  1.091000, -0.025062
  1.092000, -0.023364
  1.093000, -0.021667
  1.094000, -0.019870
  1.095000, -0.018073
  1.096000, -0.016455
  1.097000, -0.014838
  1.098000, -0.013140
  1.099000, -0.011442
  1.100000, -0.010146
  1.101000, -0.008849
  1.102000, -0.007151
  1.103000, -0.005453
  1.104000, -0.003836
  1.105000, -0.002218
  1.106000, -0.001020
  1.107000,  0.000178
  1.108000,  0.001555
  1.109000,  0.002932
  1.110000,  0.004129
  1.111000,  0.005327
  1.112000,  0.006525
  1.113000,  0.007723
  1.114000,  0.008921
  1.115000,  0.010118
  1.116000,  0.011316
  1.117000,  0.012514
  1.118000,  0.013792
  1.119000,  0.015070
  1.120000,  0.016169
  1.121000,  0.017268
  1.122000,  0.018046
  1.123000,  0.018824
  1.124000,  0.019923
  1.125000,  0.021022
  1.126000,  0.022121
  1.127000,  0.023220
  1.128000,  0.023998
  1.129000,  0.024776
  1.130000,  0.025455
  1.131000,  0.026134
  1.132000,  0.026832
  1.133000,  0.027530
  1.134000,  0.028530
  1.135000,  0.029530
  1.136000,  0.030209
  1.137000,  0.030888
  1.138000,  0.031567
  1.139000,  0.032246
  1.140000,  0.032845
  1.141000,  0.033444
  1.142000,  0.034024
  1.143000,  0.034604
  1.144000,  0.035185
  1.145000,  0.035765
  1.146000,  0.036444
  1.147000,  0.037123
  1.148000,  0.037623
  1.149000,  0.038123
  1.150000,  0.038382
  1.151000,  0.038642
  1.152000,  0.039043
  1.153000,  0.039444
  1.154000,  0.039703
  1.155000,  0.039963
  1.156000,  0.040364
  1.157000,  0.040765
  1.158000,  0.041024
  1.159000,  0.041283
  1.160000,  0.041364
  1.161000,  0.041444
  1.162000,  0.041845
  1.163000,  0.042246
  1.164000,  0.042407
  1.165000,  0.042567
  1.166000,  0.042647
  1.167000,  0.042727
  1.168000,  0.042709
  1.169000,  0.042690
  1.170000,  0.042770
  1.171000,  0.042850
  1.172000,  0.042591
  1.173000,  0.042332
  1.174000,  0.042412
  1.175000,  0.042492
  1.176000,  0.042474
  1.177000,  0.042455
  1.178000,  0.042035
  1.179000,  0.041615
  1.180000,  0.041597
  1.181000,  0.041578
  1.182000,  0.041238
  1.183000,  0.040899
  1.184000,  0.040559
  1.185000,  0.040220
  1.186000,  0.039880
  1.187000,  0.039541
  1.188000,  0.039201
  1.189000,  0.038861
  1.190000,  0.038442
  1.191000,  0.038022
  1.192000,  0.037682
  1.193000,  0.037343
  1.194000,  0.036583
  1.195000,  0.035824
  1.196000,  0.035404
  1.197000,  0.034984
  1.198000,  0.034225
  1.199000,  0.033466
  1.200000,  0.033046
  1.201000,  0.032626
  1.202000,  0.031867
  1.203000,  0.031108
  1.204000,  0.030268
  1.205000,  0.029428
  1.206000,  0.028768
  1.207000,  0.028108
  1.208000,  0.027348
  1.209000,  0.026589
  1.210000,  0.025749
  1.211000,  0.024910
  1.212000,  0.024150
  1.213000,  0.023391
  1.214000,  0.022551
  1.215000,  0.021712
  1.216000,  0.020872
  1.217000,  0.020033
  1.218000,  0.019273
  1.219000,  0.018514
  1.220000,  0.017675
  1.221000,  0.016835
  1.222000,  0.016076
  1.223000,  0.015316
  1.224000,  0.014236
  1.225000,  0.013156
  1.226000,  0.012298
  1.227000,  0.011439
  1.228000,  0.010600
  1.229000,  0.009760
  1.230000,  0.009001
  1.231000,  0.008241
  1.232000,  0.007161
  1.233000,  0.006081
  1.234000,  0.005303
  1.235000,  0.004525
  1.236000,  0.003766
  1.237000,  0.003006
  1.238000,  0.002247
  1.239000,  0.001488
  1.240000,  0.000488
  1.241000, -0.000512
  1.242000, -0.001371
  1.243000, -0.002229
  1.244000, -0.002908
  1.245000, -0.003587
  1.246000, -0.004266
  1.247000, -0.004945
  1.248000, -0.005705
  1.249000, -0.006464
  1.250000, -0.006921
  1.251000, -0.007378
  1.252000, -0.008058
  1.253000, -0.008737
  1.254000, -0.009336
  1.255000, -0.009934
  1.256000, -0.010515
  1.257000, -0.011095
  1.258000, -0.011453
  1.259000, -0.011811
